date,do i have the flu
2020-01-05,47.2
2020-01-12,44.285714285714285
2020-01-19,43.57142857142857
2020-01-26,42.857142857142854
2020-02-02,58.857142857142854
2020-02-09,53.714285714285715
2020-02-16,51.0
2020-02-23,40.142857142857146
2020-03-01,47.42857142857143
2020-03-08,50.857142857142854
2020-03-15,72.42857142857142
2020-03-22,42.714285714285715
2020-03-29,33.0
2020-04-05,24.714285714285715
2020-04-12,5.142857142857143
2020-04-19,2.2857142857142856
2020-04-26,3.857142857142857
2020-05-03,1.8571428571428572
2020-05-10,0.0
2020-05-17,0.0
2020-05-24,0.0
2020-05-31,0.0
2020-06-07,0.0
2020-06-14,0.0
2020-06-21,0.0
2020-06-28,2.2857142857142856
2020-07-05,0.0
2020-07-12,0.0
2020-07-19,0.0
2020-07-26,0.0
2020-08-02,0.0
2020-08-09,6.133982211709507
2020-08-16,0.0
2020-08-23,0.0
2020-08-30,0.0
2020-09-06,0.0
2020-09-13,0.0
2020-09-20,0.0
2020-09-27,18.123129261869
2020-10-04,25.930015713135642
2020-10-11,14.870259907174562
2020-10-18,14.59144253391504
2020-10-25,6.784556082648393
2020-11-01,6.041043087289665
2020-11-08,21.468937740983275
2020-11-15,7.435129953587283
2020-11-22,7.156312580327758
2020-11-29,0.0
2020-12-06,6.133982211709507
2020-12-13,14.126746911815834
2020-12-20,7.528069078007122
2020-12-27,7.621008202426963
2021-01-03,6.319860460549189
2021-01-10,10.168093531497615
2021-01-17,0.0
2021-01-24,0.0
2021-01-31,0.0
2021-02-07,0.0
2021-02-14,0.0
2021-02-21,0.0
2021-02-28,0.0
2021-03-07,0.0
2021-03-14,5.606705779050086
2021-03-21,13.589134345833259
2021-03-28,0.0
2021-04-04,0.0
2021-04-11,9.597920062441672
2021-04-18,0.0
2021-04-25,0.0
2021-05-02,0.0
2021-05-09,6.556994894143321
2021-05-16,0.0
2021-05-23,5.131561221503468
2021-05-30,0.0
2021-06-06,0.0
2021-06-13,0.0
2021-06-20,5.226590133012791
2021-06-27,0.0
2021-07-04,0.0
2021-07-11,4.609504664220131
2021-07-18,0.0
2021-07-25,0.0
2021-08-01,6.146006218960174
2021-08-08,0.0
2021-08-15,7.17034058878687
2021-08-22,0.0
2021-08-29,14.852848362487086
2021-09-05,0.0
2021-09-12,5.50579723781849
2021-09-19,5.121671849133478
2021-09-26,6.786215200101858
2021-10-03,0.0
2021-10-10,27.913111577777453
2021-10-17,6.146006218960174
2021-10-24,0.0
2021-10-31,11.26767806809365
2021-11-07,0.0
2021-11-14,17.541726083282164
2021-11-21,21.254938173903934
2021-11-28,0.0
2021-12-05,23.559690506014
2021-12-12,19.462353026707216
2021-12-19,33.54695061182428
2021-12-26,38.02841347981608
2022-01-02,60.49344140122968
