date,cold and flu
2020-01-05,52.81942350332595
2020-01-12,43.51130820399113
2020-01-19,39.655875831485595
2020-01-26,42.77694013303769
2020-02-02,44.42926829268293
2020-02-09,45.8980044345898
2020-02-16,41.4
2020-02-23,37.91175166297118
2020-03-01,41.308203991130824
2020-03-08,42.226164079822624
2020-03-15,55.3529933481153
2020-03-22,49.38625277161863
2020-03-29,30.56807095343681
2020-04-05,23.224390243902437
2020-04-12,15.788913525498893
2020-04-19,11.933481152993348
2020-04-26,10.740133037694013
2020-05-03,8.537028824833703
2020-05-10,7.619068736141907
2020-05-17,6.3339246119733925
2020-05-24,5.783148558758315
2020-05-31,5.324168514412416
2020-06-07,5.324168514412416
2020-06-14,5.966740576496674
2020-06-21,6.609312638580931
2020-06-28,7.2518847006651885
2020-07-05,8.510932376786036
2020-07-12,9.211969111969111
2020-07-19,9.785328185328185
2020-07-26,9.250193050193051
2020-08-02,8.982625482625483
2020-08-09,8.294594594594596
2020-08-16,8.027027027027028
2020-08-23,8.371042471042472
2020-08-30,8.141698841698842
2020-09-06,9.9
2020-09-13,10.473359073359074
2020-09-20,12.30810810810811
2020-09-27,14.028185328185328
2020-10-04,15.136679536679537
2020-10-11,17.162548262548263
2020-10-18,16.550965250965252
2020-10-25,18.003474903474903
2020-11-01,19.72355212355212
2020-11-08,15.901158301158302
2020-11-15,19.685328185328185
2020-11-22,22.437451737451738
2020-11-29,19.035521235521237
2020-12-06,22.513899613899614
2020-12-13,21.55830115830116
2020-12-20,20.946718146718148
2020-12-27,21.13783783783784
2021-01-03,20.571919671277275
2021-01-10,18.40856531049251
2021-01-17,15.510064239828695
2021-01-24,15.170877944325483
2021-01-31,13.721627408993578
2021-02-07,12.858244111349038
2021-02-14,12.580728051391862
2021-02-21,12.611563169164883
2021-02-28,11.254817987152036
2021-03-07,11.285653104925055
2021-03-14,10.576445396145612
2021-03-21,10.946466809421844
2021-03-28,12.919914346895078
2021-04-04,12.395717344753749
2021-04-11,13.56745182012848
2021-04-18,13.937473233404713
2021-04-25,14.708351177730195
2021-05-02,14.02997858672377
2021-05-09,13.289935760171307
2021-05-16,13.906638115631694
2021-05-23,12.334047109207711
2021-05-30,14.400000000000002
2021-06-06,13.413276231263383
2021-06-13,11.686509635974305
2021-06-20,13.166595289079229
2021-06-27,12.364882226980729
2021-07-04,14.191985316610586
2021-07-11,16.142857142857142
2021-07-18,18.0
2021-07-25,19.142857142857142
2021-08-01,21.285714285714285
2021-08-08,22.285714285714285
2021-08-15,21.857142857142858
2021-08-22,21.285714285714285
2021-08-29,23.428571428571427
2021-09-05,23.428571428571427
2021-09-12,23.857142857142858
2021-09-19,24.714285714285715
2021-09-26,25.285714285714285
2021-10-03,25.857142857142858
2021-10-10,27.857142857142858
2021-10-17,25.857142857142858
2021-10-24,28.714285714285715
2021-10-31,28.857142857142858
2021-11-07,33.857142857142854
2021-11-14,35.00000000000001
2021-11-21,37.42857142857143
2021-11-28,37.0
2021-12-05,41.857142857142854
2021-12-12,35.714285714285715
2021-12-19,43.0
2021-12-26,64.57142857142858
2022-01-02,86.73207190160834
2022-01-09,77.05077262693158
2022-01-16,58.476032797224846
2022-01-23,42.79069694102807
2022-01-30,29.581993062125512
2022-02-06,22.702459791863767
2022-02-13,19.675465152948597
2022-02-20,19.95064648375907
2022-02-27,20.776190476190475
