date,cure the flu
2020-01-05,9.0
2020-01-12,6.142857142857143
2020-01-19,7.428571428571429
2020-01-26,9.571428571428571
2020-02-02,16.857142857142858
2020-02-09,11.285714285714286
2020-02-16,8.857142857142858
2020-02-23,10.0
2020-03-01,16.714285714285715
2020-03-08,27.571428571428573
2020-03-15,52.285714285714285
2020-03-22,26.428571428571427
2020-03-29,19.428571428571427
2020-04-05,17.428571428571427
2020-04-12,13.0
2020-04-19,8.714285714285714
2020-04-26,7.142857142857143
2020-05-03,6.857142857142857
2020-05-10,3.0
2020-05-17,5.142857142857143
2020-05-24,3.0
2020-05-31,0.0
2020-06-07,0.0
2020-06-14,0.8571428571428573
2020-06-21,0.0
2020-06-28,0.0
2020-07-05,0.0
2020-07-12,0.0
2020-07-19,0.0
2020-07-26,0.0
2020-08-02,0.0
2020-08-09,0.0
2020-08-16,0.0
2020-08-23,0.0
2020-08-30,0.0
2020-09-06,0.0
2020-09-13,0.0
2020-09-20,2.33036079362916
2020-09-27,4.8937576666212355
2020-10-04,0.0
2020-10-11,3.573219883564712
2020-10-18,0.0
2020-10-25,0.0
2020-11-01,0.0
2020-11-08,0.0
2020-11-15,0.0
2020-11-22,6.447331529040675
2020-11-29,0.0
2020-12-06,2.4468788333106177
2020-12-13,2.252682100508188
2020-12-20,0.0
2020-12-27,0.0
2021-01-03,0.0
2021-01-10,2.013474025974026
2021-01-17,0.0
2021-01-24,0.0
2021-01-31,0.0
2021-02-07,0.0
2021-02-14,0.0
2021-02-21,2.119446343130554
2021-02-28,0.0
2021-03-07,0.0
2021-03-14,0.0
2021-03-21,0.0
2021-03-28,0.0
2021-04-04,0.0
2021-04-11,0.0
2021-04-18,0.0
2021-04-25,0.0
2021-05-02,0.0
2021-05-09,0.0
2021-05-16,0.0
2021-05-23,0.0
2021-05-30,0.0
2021-06-06,0.0
2021-06-13,0.0
2021-06-20,0.0
2021-06-27,0.0
2021-07-04,0.0
2021-07-11,
2021-07-18,
2021-07-25,
2021-08-01,
2021-08-08,
2021-08-15,
2021-08-22,
2021-08-29,
2021-09-05,
2021-09-12,
2021-09-19,
2021-09-26,
2021-10-03,
2021-10-10,
2021-10-17,
2021-10-24,
2021-10-31,
2021-11-07,
2021-11-14,
2021-11-21,
2021-11-28,
2021-12-05,
2021-12-12,
2021-12-19,
2021-12-26,
2022-01-02,0.0
2022-01-09,0.0
2022-01-16,4.187649085608269
2022-01-23,0.0
2022-01-30,0.0
2022-02-06,0.0
2022-02-13,0.0
2022-02-20,0.0
2022-02-27,0.0
2022-03-06,0.0
2022-03-13,0.0
2022-03-20,2.051948051948052
2022-03-27,1.465677179962894
2022-04-03,2.0938245428041347
2022-04-10,0.0
2022-04-17,0.0
2022-04-24,3.4757487410548635
2022-05-01,0.0
2022-05-08,0.0
2022-05-15,2.3869599787967135
2022-05-22,0.0
2022-05-29,0.0
2022-06-05,2.345083487940631
2022-06-12,1.8425655976676383
2022-06-19,0.0
2022-06-26,0.0
2022-07-03,0.0
2022-07-10,0.0
2022-07-17,2.0838178750383474
2022-07-24,0.0
2022-07-31,0.0
2022-08-07,0.0
2022-08-14,0.0
2022-08-21,0.0
2022-08-28,0.0
2022-09-04,2.219719040801718
2022-09-11,0.0
2022-09-18,0.0
2022-09-25,0.0
2022-10-02,0.0
2022-10-09,0.0
2022-10-16,0.0
2022-10-23,0.0
2022-10-30,0.0
2022-11-06,5.75314935064935
2022-11-13,3.5334303098476325
2022-11-20,6.885659065344105
2022-11-27,16.217539114428877
2022-12-04,11.27979675835975
2022-12-11,3.7599322527865833
2022-12-18,4.530038858779016
2022-12-25,5.118943910420287
2023-01-01,2.4009205951528783
2023-01-08,0.0
2023-01-15,0.0
2023-01-22,0.0
2023-01-29,2.5452047952047954
2023-02-05,2.004348776223776
2023-02-12,0.0
2023-02-19,0.0
2023-02-26,0.0
2023-03-05,0.0
2023-03-12,3.1815059940059944
2023-03-19,0.0
2023-03-26,0.0
2023-04-02,0.0
2023-04-09,0.0
2023-04-16,0.0
2023-04-23,0.0
2023-04-30,0.0
2023-05-07,2.067978896103896
2023-05-14,0.0
2023-05-21,3.0860608141858137
2023-05-28,0.0
2023-06-04,0.0
2023-06-11,0.0
2023-06-18,0.0
2023-06-25,0.0
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,0.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,2.187955537682314
2023-08-27,0.0
2023-09-03,0.0
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,0.0
2023-10-01,0.0
2023-10-08,0.0
2023-10-15,0.0
2023-10-22,0.0
2023-10-29,0.0
2023-11-05,0.0
2023-11-12,0.0
2023-11-19,0.0
2023-11-26,0.0
2023-12-03,0.0
2023-12-10,4.322546306152864
2023-12-17,0.0
2023-12-24,4.8828763828763835
2023-12-31,2.3213674607117234
